,Profile_Category_Accessibility_Count,Profile_Category_Bathroom_Personal_Count,Profile_Category_Bedding_Comfort_Count,Profile_Category_Business_Work_Count,Profile_Category_Climate_Control_Count,Profile_Category_Essential_Tech_Count,Profile_Category_Kitchen_Dining_Count,Profile_Category_Outdoor_Recreation_Count,Profile_Category_Safety_Security_Count,Profile_Category_Transportation_Count,Profile_Category_Family_Pets_Count,price,log_price,longitude,latitude
2693,0,0,0,1,1,1,0,1,5,0,0,264.0,5.575949103146316,114.16783,22.30581
2694,0,3,0,1,1,1,0,0,0,0,0,238.0,5.472270673671475,114.1690224,22.3047171
2695,1,4,1,0,1,0,3,0,1,0,1,491.0,6.19644412779452,114.1461836,22.2878482
2696,0,4,5,2,2,2,3,0,1,0,0,886.0,6.786716950605081,114.14339,22.28774
2697,0,4,2,1,1,1,4,2,1,0,0,1090.0,6.993932975223189,114.15359,22.28366
2698,1,6,4,2,1,2,9,0,2,0,0,1143.0,7.04141166379481,114.15316,22.28045
2699,0,5,4,2,2,1,10,0,5,2,1,709.0,6.5638555265321274,114.1517,22.28169
2700,0,4,2,2,2,1,4,0,1,1,1,680.0,6.522092798170152,114.16969,22.31354
2701,0,6,5,3,1,1,9,0,0,0,1,3150.0,8.055157731819678,114.26026,22.33917
2702,0,4,3,2,1,0,3,0,4,0,1,318.0,5.762051382780177,114.16698,22.30443
2703,0,4,3,2,1,0,3,0,4,0,1,286.0,5.655991810819852,114.16584,22.30622
2704,0,4,2,2,1,1,2,0,1,0,0,681.0,6.523562306149512,114.1679,22.31955
2705,1,5,4,3,3,2,9,0,4,2,1,1087.0,6.99117688712121,114.17098,22.3039
2706,0,4,2,2,1,1,2,0,1,0,0,727.0,6.588926477533519,114.16753,22.31877
2707,0,5,5,3,2,1,7,2,4,1,0,1263.0,7.141245122350491,114.17263,22.29839
2708,0,1,0,2,1,1,1,2,5,1,0,775.0,6.652863029353347,114.18728,22.31139
2709,0,4,3,2,1,0,10,3,4,1,0,432.0,6.068425588244111,114.15343,22.33943
2710,1,4,4,1,1,1,7,0,0,0,0,1029.0,6.9363427358340495,114.15242,22.28176
2711,0,0,0,1,1,0,1,0,0,0,0,175.0,5.1647859739235145,114.13944,22.28574
2712,0,0,0,1,1,0,1,1,1,0,0,1000.0,6.907755278982137,114.1388,22.28717
2713,1,4,2,2,1,2,4,2,1,0,0,641.0,6.46302945692067,114.16889,22.27572
2714,1,0,0,2,1,1,1,0,1,0,0,330.0,5.799092654460526,114.18506,22.28319
2715,0,0,0,1,1,1,0,0,4,0,0,315.0,5.752572638825633,114.16839,22.30422
2716,0,4,3,1,1,1,2,0,2,0,0,222.0,5.402677381872279,114.1703,22.30606
2717,1,3,2,2,1,1,5,0,0,0,1,1156.0,7.052721049232323,114.16779,22.32113
2718,0,0,0,2,1,1,1,1,2,1,0,301.0,5.707110264748875,114.19183,22.28506
2719,0,3,2,2,1,1,4,1,1,0,0,850.0,6.745236349484363,114.15182,22.28273
2720,0,3,1,1,1,1,1,0,0,0,0,632.0,6.448889394146858,114.1722251,22.30504631
2721,0,0,0,1,1,0,2,0,0,1,1,378.0,5.934894195619588,114.18467,22.52181
2722,1,3,3,2,1,0,2,0,4,0,0,609.0,6.411818267709897,114.17053,22.30655
2723,0,0,0,2,1,0,1,0,1,0,0,652.0,6.480044561926653,114.1569255,22.2820295
2724,0,0,0,2,1,0,1,0,0,0,0,630.0,6.4457198193855785,114.1912,22.27938
2725,0,4,3,1,1,1,6,0,1,0,1,850.0,6.745236349484363,114.18751,22.27883
2726,0,1,4,2,2,0,1,0,1,0,0,276.0,5.62040086571715,114.1993903,22.2912958
2727,0,2,0,2,1,0,6,0,1,1,0,2095.0,7.647308832356238,114.1977236,22.29011054
2728,0,3,0,1,1,1,2,0,1,0,0,649.0,6.47543271670409,114.1700559,22.30412052
2729,0,4,2,1,1,1,0,0,0,1,0,198.0,5.288267030694535,114.1705387,22.30398915
2730,0,2,0,2,1,1,1,0,1,0,0,579.0,6.361302477572996,114.1752252,22.2995756
2731,0,3,1,2,1,0,5,0,1,0,0,1000.0,6.907755278982137,114.14791,22.28497
2732,0,1,0,2,1,1,7,0,0,0,0,2285.0,7.734121303328305,114.168947,22.2984394
2733,0,1,0,2,1,0,1,0,1,0,0,781.0,6.660575149839686,114.0197877,22.2960512
2734,0,5,1,1,1,1,6,0,0,0,0,864.0,6.761572768804055,114.1801303,22.27877827
2735,1,3,5,2,1,1,0,1,0,1,0,388.0,5.961005339623274,114.1697887,22.30645329
2736,1,4,2,1,0,1,2,0,0,0,0,502.0,6.218600119691729,114.17182,22.30779
2737,1,4,2,2,1,1,2,0,4,0,0,193.0,5.262690188904886,114.1764588,22.29882122
2738,0,0,0,1,1,0,1,0,0,1,0,710.0,6.565264970035361,114.1290523,22.2806368
2739,0,0,0,2,1,0,1,0,1,1,0,180.0,5.19295685089021,114.1851697,22.51989991
2740,0,1,0,1,1,1,1,0,1,0,0,977.0,6.884486652042782,114.16372,22.32588
2741,1,3,3,2,1,1,5,0,1,0,0,434.0,6.073044534100405,114.1851672,22.28090685
2742,1,4,5,2,2,1,6,0,1,0,0,1066.0,6.97166860472579,114.1709771,22.3120919
2743,0,5,3,2,1,2,10,0,1,0,1,1520.0,7.326465613840322,114.1467239,22.28583661
2744,0,3,0,1,1,1,8,0,1,0,0,830.0,6.721425700790643,114.18691,22.26911
2745,0,0,0,2,1,0,0,0,2,0,0,306.0,5.723585101952381,114.1727518,22.30572588
2746,0,3,2,1,2,1,5,0,5,0,1,207.0,5.332718793265369,114.1647864,22.30795097
2747,0,5,5,1,1,1,8,0,1,0,0,207.0,5.332718793265369,114.1662184,22.30661758
2748,0,0,2,2,1,0,1,0,2,0,0,452.0,6.113682179832232,114.1525465,22.27930192
2749,0,0,0,1,1,0,1,0,1,0,0,613.0,6.418364935936212,114.0195872,22.29608306
2750,1,4,4,2,2,1,7,0,0,0,1,658.0,6.489204931325317,114.176958,22.30196134
2751,0,4,5,1,1,1,9,0,0,1,0,666.0,6.501289670540389,114.1538399,22.2805417
2752,0,4,2,2,2,1,6,0,1,1,1,729.0,6.591673732008658,114.16851,22.31535
2753,1,5,2,2,1,0,0,0,5,0,0,263.0,5.572154032177765,114.1721913,22.29811854
2754,0,3,0,2,1,1,1,0,0,0,1,739.0,6.6052979209482015,114.14598,22.284
2755,1,3,2,1,1,0,3,0,1,0,0,278.0,5.627621113690637,114.1874055,22.27720743
2756,0,3,2,1,1,0,2,0,0,0,0,129.0,4.859812404361672,114.1673832,22.27538717
2757,0,0,0,1,1,1,1,0,0,0,0,1045.0,6.951772164398911,114.0158715,22.29411309
2758,0,6,3,1,1,0,5,0,1,0,0,765.0,6.639875833826536,114.1700194,22.31400588
2759,0,0,0,1,0,1,0,0,2,0,0,319.0,5.765191102784844,114.17524,22.29822
2760,1,3,2,2,2,0,2,0,1,0,0,570.0,6.345636360828596,114.1965166,22.29042107
2761,0,2,0,2,1,1,1,0,0,0,0,578.0,6.359573868672378,114.15237,22.2821
2762,0,0,0,1,0,1,0,0,2,0,0,347.0,5.849324779946859,114.17524,22.29822
2763,0,1,0,2,1,0,1,0,2,1,0,603.0,6.401917196727186,114.15903,22.31953
2764,0,0,0,1,0,1,0,0,2,0,0,896.0,6.79794041297493,114.1753096,22.2982093
2765,0,0,0,1,0,1,0,0,2,0,0,1386.0,7.234177179749849,114.1753096,22.2982093
2766,0,1,5,1,2,1,0,0,4,0,0,260.0,5.560681631015528,114.1718544,22.30555563
2767,0,5,4,2,1,1,3,0,1,0,0,633.0,6.450470422144176,114.145893,22.2870671
